order_id,customer_id,order_date,order_status,payment_method,shipping_method,shipping_address_line1,shipping_address_line2,shipping_city,shipping_state,shipping_postal_code,shipping_country,billing_same_as_shipping,discount_amount,tax_amount,shipping_cost,total_amount,notes,created_at,updated_at,subtotal
5f815692-8496-4d2d-a1d6-8ccb4353f5f5,d4020c91-b1b2-4d80-8024-c88469bc488b,2025-08-02,processing,paypal,pickup,726 David Freeway Suite 021,,Jasonview,Minnesota,05950,Tonga,True,0.0,4.19,14.5,68.04,,2025-08-02 00:59:34,2025-08-10 19:11:06,49.35
ae61fecc-8b06-42a8-a528-45497b170f5f,c3384516-27af-4a1b-b450-4ef91e69b76f,2024-12-23,shipped,bank_transfer,overnight,3131 David Unions Apt. 243,,Jeanettefurt,Missouri,91876,Iceland,False,47.25,5.5,22.06,45.03,,2024-12-23 20:57:45,2025-08-14 19:43:43,64.72
02745c51-212e-4bc5-aa45-ea6be8cdd48a,f0f5f1f4-d061-4a0a-bebc-9aaf6704eef3,2024-10-01,delivered,cash_on_delivery,overnight,621 Perez Harbor,Suite 060,Port Staceychester,Washington,15292,Qatar,True,13.69,233.13,10.97,2973.07,,2024-10-01 00:29:15,2024-10-04 15:11:06,2742.6600000000003
528dcd6a-e4e6-4110-93a8-ebc48d5b3d73,ca53947e-aac8-45d0-9b16-6ed3d7fc0c3a,2024-12-30,cancelled,paypal,standard,844 Watson River Apt. 600,,Phillipsville,Illinois,90316,Comoros,True,10.34,617.33,20.97,7890.61,,2024-12-30 06:09:50,2025-03-31 11:37:46,7262.65
23cb9ba6-e116-44ee-94d6-a4480ba3bd82,5ce2b50f-1c36-43a1-a483-0722101c073a,2024-11-08,delivered,credit_card,express,9417 Rodriguez Burgs,Apt. 756,Amandamouth,Massachusetts,34699,Malawi,False,10.16,22.97,23.55,306.6,,2024-11-08 19:22:02,2025-02-08 17:23:43,270.24
fed4bd1d-a3b8-424d-ac89-834a13c1318b,3c43d48b-6c61-4d1b-9c1e-07dec2d60fc5,2025-03-03,delivered,debit_card,pickup,612 Patricia Springs Suite 879,Apt. 507,North Jacqueline,Rhode Island,08606,Liberia,True,0.0,58.41,21.12,766.74,,2025-03-03 05:44:39,2025-06-20 19:59:16,687.21
b52d4253-bf48-472f-bc72-c8a433787077,b26255e2-a4e5-40cd-a00c-d1f455af323b,2024-11-24,delivered,credit_card,express,3666 Lee Forest Suite 286,,East Amy,New Jersey,44282,Gambia,True,17.69,47.7,1.98,593.22,,2024-11-24 18:53:23,2024-12-02 23:22:55,561.23
303e901f-cfda-41d6-8cb0-67f83abf796d,632b4638-405c-4da9-8b74-e85dae53d1c3,2024-10-03,processing,debit_card,overnight,14359 Paula Forks,Suite 272,Port Amanda,North Carolina,16282,Seychelles,True,0.0,646.82,19.43,8275.88,,2024-10-03 13:59:39,2025-03-13 19:41:10,7609.63
de03a512-b85f-4100-a996-caca8ca984ed,964a4dc3-be5f-4bd9-9ef2-aaf951e3ce40,2025-01-08,delivered,credit_card,pickup,40287 Torres Mountain Apt. 648,Apt. 335,Millsburgh,South Carolina,77687,South Africa,True,0.0,65.17,4.76,836.58,,2025-01-08 00:07:59,2025-04-22 03:13:31,766.65
55efe105-2e3d-4f95-9752-7dacd7741ae7,959712e1-9d80-430d-86aa-b5e6bf9f5a3e,2025-07-20,delivered,credit_card,standard,35068 Lewis Ramp Apt. 939,Suite 062,Gonzalezberg,Iowa,81790,Bouvet Island (Bouvetoya),True,0.0,200.19,5.51,2560.89,,2025-07-20 07:28:24,2025-07-26 15:59:13,2355.19
c4cfde58-2705-4dc4-be9d-454da79ba236,740bf7eb-bb13-40d9-a8ff-2608cb18eb04,2025-04-03,shipped,debit_card,pickup,8745 Ballard Manor Apt. 318,Suite 865,South Carla,Rhode Island,41208,Vanuatu,True,0.0,258.31,23.77,3320.99,,2025-04-03 23:16:59,2025-04-25 03:05:57,3038.91
b12b1518-1bcc-4652-8e2c-dbd635b27f62,0b5f8d90-26bb-4bb6-9414-4ef7ec5a3c6b,2025-07-03,shipped,bank_transfer,standard,645 Stone Curve,,Simpsonshire,Washington,95788,Guatemala,True,0.0,92.88,0.97,1186.57,,2025-07-03 13:24:49,2025-07-10 19:56:51,1092.72
90af7aa9-7ea5-456c-8f25-30744d26d510,0df97d3e-04a7-4a93-b5c8-a1d925d23f81,2025-04-22,delivered,cash_on_delivery,express,941 Reginald Inlet,,Ruizshire,Connecticut,16146,Mauritius,True,0.0,195.35,4.5,2498.12,,2025-04-22 01:00:44,2025-06-16 00:32:08,2298.27
4b78637b-03c2-4732-b885-fe82e62c4ac3,d4c29281-280d-419c-82f7-0e15651a681c,2025-07-20,delivered,bank_transfer,pickup,14708 Tammy Corners Suite 172,,Williamside,Florida,89984,Panama,True,0.0,474.37,12.02,6067.25,Upon when seek season hot buy. Design since age learn remember cover law.,2025-07-20 00:56:34,2025-07-25 19:36:10,5580.86
f6fc6902-3a4d-4073-a23e-57a9a836b4de,0c8ac6b7-1708-4e51-9997-c514244597bb,2025-06-18,cancelled,paypal,pickup,795 Cindy Walks,,Waltersview,Mississippi,20140,Estonia,True,0.0,412.07,2.9,5262.87,,2025-06-18 21:25:47,2025-07-23 12:54:07,4847.9
17238524-49da-441c-ac66-4a8f2f55c559,cb6c458f-28a6-4c01-b627-b22de58845d7,2025-01-06,delivered,paypal,pickup,35919 Rowe Knolls Apt. 292,,Olsonton,Idaho,48339,Norfolk Island,True,0.0,53.21,20.12,699.31,,2025-01-06 08:49:10,2025-08-08 03:04:47,625.98
37c94bc9-79f7-4a65-a102-e0e46566a9e0,04d5b850-480f-4780-990f-cb60adaf2800,2024-12-07,delivered,credit_card,overnight,554 Eric Camp Suite 487,Apt. 912,Westbury,Tennessee,48481,Philippines,True,0.0,50.54,10.23,655.4,,2024-12-07 16:43:57,2025-03-08 12:54:18,594.63
b84286c2-9660-4360-b4a6-9770814cd91e,2ab3b8f9-4619-4042-9e70-d24f5ed08147,2025-02-12,shipped,paypal,pickup,632 Brett Road,,South Christopherstad,Minnesota,63021,South Africa,True,0.0,344.67,22.81,4422.37,,2025-02-12 23:09:09,2025-03-20 16:26:29,4054.89
44850b48-f5f1-4f2e-8b68-376b894cf889,6b3d5f69-d831-4a70-8398-1c895e0c74ad,2024-10-09,shipped,credit_card,overnight,166 Chad Keys Suite 748,,Harrisport,New York,07173,Dominica,True,0.0,201.99,13.4,2591.71,,2024-10-09 13:35:31,2024-10-15 07:58:54,2376.3199999999997
c62be21b-ea64-42ec-9d53-3a1cec4b00b7,d4e0c7f5-6e6b-4bd4-927a-cf9ac3ba5fd4,2024-11-09,cancelled,cash_on_delivery,overnight,3860 Paul Pass Suite 175,Suite 053,New Courtneychester,Michigan,72091,Greece,True,0.0,426.0,0.53,5438.28,,2024-11-09 22:15:12,2025-01-20 09:16:10,5011.75
48055877-5cda-4e2f-846a-a8ac05f04e23,915fffa9-0a42-49c2-b586-e5469395c03a,2025-03-03,delivered,paypal,standard,1727 Tanner Centers Apt. 341,,Port Nathanielside,Oklahoma,23121,Spain,True,0.0,115.91,4.96,1484.57,,2025-03-03 22:31:57,2025-05-29 13:39:57,1363.7
73277b27-a2eb-40d2-a04c-4b981358266d,a377cfb2-bdc9-48cc-98d2-adac4e9d0e9e,2024-08-29,delivered,debit_card,overnight,1719 Powers Square,,Scotttown,Alaska,79645,Lesotho,False,0.0,80.08,5.39,1027.54,,2024-08-29 00:56:10,2025-02-10 22:10:28,942.0699999999999
04b0129e-02d8-4486-9d06-22366404209b,2f1e5cb6-26ef-43dc-aea4-bfe57446bbd5,2024-11-30,pending,credit_card,standard,71253 Donaldson Coves Apt. 555,,Port Nichole,South Dakota,04446,Somalia,True,14.15,84.45,0.61,1064.48,,2024-11-30 19:44:21,2025-05-19 14:17:25,993.57
75dabf6d-8088-4ffc-8711-2411ae74e9cd,887bd741-43d1-4318-abac-03b200aaa298,2025-03-24,shipped,paypal,standard,15811 Sandy Passage,,New Michael,Delaware,10274,Seychelles,True,0.0,46.1,20.46,608.93,,2025-03-24 10:37:21,2025-07-25 19:35:08,542.37
5571afd3-9c71-43af-b691-b72c3b61b991,72f978e2-d587-46f4-b90e-83a5cf19c94e,2025-04-16,processing,credit_card,pickup,152 Nicole Way Apt. 450,Suite 071,South Michaela,Wyoming,50756,Hungary,True,0.0,45.05,22.97,598.06,Price night article. Into upon response. Represent face great because.,2025-04-16 23:53:51,2025-05-23 06:02:10,530.04
